inbound,outbound,weight
forbes,webmd,48
forbes,myfitnesspal,17
forbes,mayoclinic,5
forbes,medscape,2
forbes,verywellhealth,1
nytimes,verywellhealth,1
nytimes,medscape,2
nytimes,mayoclinic,1
nytimes,myfitnesspal,1
nytimes,webmd,1
theguardian,medscape,1
washingtonpost,webmd,16
washingtonpost,medscape,1
washingtonpost,mayoclinic,4
washingtonpost,myfitnesspal,8
washingtonpost,verywellhealth,1
myfitnesspal,colledgeboard,3
myfitnesspal,edx,1
myfitnesspal,harvard,1
myfitnesspal,mit,1
myfitnesspal,jhu,1
medscape,colledgeboard,6
medscape,harvard,3
medscape,jhu,2
medscape,edx,4
medscape,mit,1
verywellhealth,harvard,2
verywellhealth,edx,2
verywellhealth,mit,1
verywellhealth,colledgeboard,2
verywellhealth,jhu,1
cnn,verywellhealth,1
cnn,medscape,1
cnn,mayoclinic,1
cnn,myfitnesspal,1
cnn,webmd,1
