inbound,outbound,weight
forbes,webmd,49
forbes,myfitnesspal,23
forbes,medscape,7
forbes,verywellhealth,10
forbes,edx,2
forbes,mayoclinic,8
forbes,jhu,1
forbes,harvard,1
forbes,colledgeboard,1
colledgeboard,medscape,4
colledgeboard,mayoclinic,3
colledgeboard,webmd,7
colledgeboard,verywellhealth,1
colledgeboard,myfitnesspal,5
harvard,medscape,2
harvard,mayoclinic,2
harvard,verywellhealth,1
harvard,myfitnesspal,1
harvard,webmd,1
jhu,mayoclinic,1
jhu,medscape,1
jhu,verywellhealth,1
jhu,myfitnesspal,1
jhu,webmd,2
edx,webmd,2
edx,medscape,2
edx,mayoclinic,3
edx,verywellhealth,1
edx,myfitnesspal,1
mit,mayoclinic,1
mit,medscape,1
mit,verywellhealth,1
mit,myfitnesspal,1
mit,webmd,1
washingtonpost,myfitnesspal,1
washingtonpost,verywellhealth,1
theguardian,myfitnesspal,1
theguardian,verywellhealth,1
cnn,myfitnesspal,1
cnn,verywellhealth,1
nytimes,myfitnesspal,1
nytimes,verywellhealth,1
