namevalue,context_id,time_stamp,byhost
"('131', '20200501')",1,1,{'match.deepintent'}
"('131', '20200501')",2,1,{'.deepintent'}
"('A3', 'd=AQABBFCWrF4CEOk_HrROnnxMZ2lVKqQaT5AFEgEBAQHnrV62XgAAAAAA_SMAAAcIUJasXqQaT5A&S=AQAAAvjI0jyNMcmjKGD3DMvOzA8')",1,46,"{'ups.analytics', 'pr.ybp', '.yahoo', 'pr-bh.ybp', 'cms.analytics'}"
"('A3', 'd=AQABBFCWrF4CEOk_HrROnnxMZ2lVKqQaT5AFEgEBAQHnrV62XgAAAAAA_SMAAAcIUJasXqQaT5A&S=AQAAAvjI0jyNMcmjKGD3DMvOzA8')",2,34,"{'ups.analytics', 'cookiex.ngd', 'ads.yahoo', '.yahoo', 'pr-bh.ybp'}"
"('A3', 'd=AQABBP6crF4CEJcqq89wRSEwJAdA1lJLliQFEgEBAQHurV62XgAAAAAA_SMAAAcI_pysXlJLliQ&S=AQAAAuz2jwhHw4nKSGxdPMAt_w4')",1,12,"{'ups.analytics', '.yahoo', 'cookiex.ngd', 'cms.analytics'}"
"('A3', 'd=AQABBP6crF4CEJcqq89wRSEwJAdA1lJLliQFEgEBAQHurV62XgAAAAAA_SMAAAcI_pysXlJLliQ&S=AQAAAuz2jwhHw4nKSGxdPMAt_w4')",3,12,"{'.yahoo', 'sp.analytics'}"
"('AA003', 'AXx6phkQm5zlntnaHnXNhOSt6auIK1woAqXNBGjAGZTUZe5gu1b68apuqMK-DPu07ik')",1,5,{'ad.atdmt'}
"('AA003', 'AXx6phkQm5zlntnaHnXNhOSt6auIK1woAqXNBGjAGZTUZe5gu1b68apuqMK-DPu07ik')",2,1,{'.atdmt'}
"('ADGRX_UID', '6ae2f17c-8bf4-11ea-9039-5a65b40255bc')",1,12,"{'.adgrx', 'cm.adgrx'}"
"('ADGRX_UID', '6ae2f17c-8bf4-11ea-9039-5a65b40255bc')",2,1,{'.adgrx'}
"('ANON_ID', 'annr6ioZdUQd82Hp9vcghtYVg6iAZdthasdflU1ZdR7Y2XjyLMpntZajJLVRnVV4kT2YZbsOMw7D4')",1,1,{'a.tribalfusion'}
