,namevalue,context_id,time_stamp
0,"('131', '20200428')",1,1
1,"('A3', 'd=AQABBF45qF4CEEgvPTiD59Nt7NBRJgIJ_7MFEgEBAQGKqV6yXgAAAAAA_SMAAA&S=AQAAAtSm43PizpB95CJjZyVf8-M')",1,2
2,"('A3', 'd=AQABBF45qF4CEEgvPTiD59Nt7NBRJgIJ_7MFEgEBAQGKqV6yXgAAAAAA_SMAAAcIXjmoXgIJ_7M&S=AQAAAjIjmhMSKUaUG3XfXfyVNH8')",1,5
3,"('A3', 'd=AQABBF45qF4CEEgvPTiD59Nt7NBRJgIJ_7MFEgEBAQGKqV6yXgAAAAAA_SMAAAcIXjmoXgIJ_7M&S=AQAAAjIjmhMSKUaUG3XfXfyVNH8')",2,6
4,"('AA003', 'AXy9mPzBp96O9WOWuGOGv92dLTg5DUX_Gn8VbJwEcni6NidRHJ7aev6D3LsJrlB8hj4')",2,1
5,"('AC', '1')",1,5
6,"('AC', '1')",2,4
7,"('AMCVS_16AD4362526701720A490D45%40AdobeOrg', '1')",2,1167
8,"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18381%7CMCMID%7C15386659630895582973254372110802858454%7CMCAAMLH-1588687971%7C7%7CMCAAMB-1588687971%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588090371s%7CNONE%7CMCAID%7CNONE%7CvVersion%7C4.4.0')",2,44
9,"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18381%7CMCMID%7C15386659630895582973254372110802858454%7CMCAAMLH-1588687971%7C7%7CMCAAMB-1588687971%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588090371s%7CNONE%7CvVersion%7C4.4.0')",2,267
10,"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18381%7CMCMID%7C15386659630895582973254372110802858454%7CMCAAMLH-1588687971%7C7%7CMCAAMB-1588687971%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588090377s%7CNONE%7CMCAID%7CNONE%7CvVersion%7C4.4.0')",2,858
