namevalue,context_id,count,host_list
"('A3', 'd=AQABBF45qF4CEEgvPTiD59Nt7NBRJgIJ_7MFEgEBAQGKqV6yXgAAAAAA_SMAAAcIXjmoXgIJ_7M&S=AQAAAjIjmhMSKUaUG3XfXfyVNH8')",1,5,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'cookiex.ngd.yahoo.com']"
"('A3', 'd=AQABBF45qF4CEEgvPTiD59Nt7NBRJgIJ_7MFEgEBAQGKqV6yXgAAAAAA_SMAAAcIXjmoXgIJ_7M&S=AQAAAjIjmhMSKUaUG3XfXfyVNH8')",2,6,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'ups.analytics.yahoo.com', 'ups.analytics.yahoo.com']"
"('AC', '1')",1,5,"['.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com']"
"('AC', '1')",2,4,"['sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com']"
"('B', 'b7vo909fageau&b=3&s=pu')",1,7,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'ads.yahoo.com', 'cookiex.ngd.yahoo.com']"
"('B', 'b7vo909fageau&b=3&s=pu')",2,6,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'ups.analytics.yahoo.com', 'ups.analytics.yahoo.com']"
"('DMADT', 'SYYIIXTLSI2r3Pl2jBlm8Q')",1,4,"['.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com']"
"('DMADT', 'SYYIIXTLSI2r3Pl2jBlm8Q')",2,4,"['sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com', 'sc.iasds01.com']"
"('DSID', 'NO_DATA')",1,71,"['.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'stats.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net']"
"('DSID', 'NO_DATA')",2,98,"['securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'bid.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'bid.g.doubleclick.net', 'ad.doubleclick.net']"
"('DSID', 'NO_DATA')",3,30,"['googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net']"
"('DW', '00000000-0000-003a-398c-861588083038')",1,6,"['.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW', '00000000-0000-003a-398c-861588083038')",2,4,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW_Time', '1588083038')",1,8,"['.insightexpressai.com', '.insightexpressai.com', '.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DW_Time', '1588083038')",2,4,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('DotomiTest', '2fac0fa240ca1592')",1,4,"['.dotomi.com', '.dotomi.com', 'dclk-match.dotomi.com', 'dclk-match.dotomi.com']"
"('DotomiTest', '2fac0fa240ca1592')",2,1,['.dotomi.com']
"('GUC', 'AQEBAQFeqYpeskIeXgSK')",1,5,"['.yahoo.com', '.yahoo.com', '.yahoo.com', 'ads.yahoo.com', 'cookiex.ngd.yahoo.com']"
"('GUC', 'AQEBAQFeqYpeskIeXgSK')",2,6,"['.yahoo.com', '.yahoo.com', '.yahoo.com', '.yahoo.com', 'ups.analytics.yahoo.com', 'ups.analytics.yahoo.com']"
"('GoogleAdServingTest', 'Good')",1,2,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js', 'https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js']"
"('GoogleAdServingTest', 'Good')",2,2,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js', 'https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js']"
"('GoogleAdServingTest', 'nan')",1,1,['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js']
"('GoogleAdServingTest', 'nan')",2,1,['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020042701.js']
"('IDE', 'AHWqTUlOVZKvNy4CkZNqO7cRitxqXgMD91fWHMzrP_KlgTJoBV118EIpwWuHIXw7')",1,79,"['.doubleclick.net', '.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'stats.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', '5290727.fls.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net']"
"('IDE', 'AHWqTUlOVZKvNy4CkZNqO7cRitxqXgMD91fWHMzrP_KlgTJoBV118EIpwWuHIXw7')",2,98,"['securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'cm.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'bid.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'stats.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'ad.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'securepubads.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'googleads4.g.doubleclick.net', 'bid.g.doubleclick.net', 'ad.doubleclick.net']"
"('IDE', 'AHWqTUlOVZKvNy4CkZNqO7cRitxqXgMD91fWHMzrP_KlgTJoBV118EIpwWuHIXw7')",3,30,"['googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net', 'googleads.g.doubleclick.net', 'static.doubleclick.net']"
"('IXAI43935', 'FTF')",1,6,"['.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('IXAI43935', 'FTF')",2,4,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('IXAI43937', 'FTF')",1,1,['.insightexpressai.com']
"('IXAI43937', 'FTF')",2,4,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('IXAI44292', 'FTF')",1,5,"['.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('IXAI44292', 'FTF')",2,4,"['secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com', 'secure.insightexpressai.com']"
"('KADUSERCOOKIE', '1AB15E46-124E-4486-9D2E-CF149023BDE1')",1,1,['.pubmatic.com']
